Task ID	Date	Task Summary	Client	Module	Issue Type	Team Member (Submitting)	Assigned Member	Total Time Spent (Hrs)	Deadline Date	Deadline Time	Completed Date	Completed Time	Status	Planned/Unplanned	Priority Status	Remarks	Developer Remarks	Start Time	Reporting Client Name	Attachments	SVN Committed	Session Start
[AUTO]	2026-09-10 12:01	Store time spent as hours for KPIs	Task Management Application	General	Change-Modification	office.venulm@gmail.com	Venul				2026-09-10	12:03	Done	Planned	High	Time spent was stored as a fraction of a day. It is now stored as decimal hours (2.5 = 2h 30m) and old text values are ignored instead of guessed.	Commits: 46d7558 2630f11		OneSapro internal		No	
[AUTO]	2026-09-10 12:16	Handle Sheets Tables and shifted columns	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-10	12:16	Done	Unplanned	High	Refresh Dropdowns works on tabs that are Google Sheets Tables, and a new check finds data sitting under the wrong headings.	Commits: 251a475		OneSapro internal		No	
[AUTO]	2026-09-11 16:32	Dashboard progress, retry, tooltips, shortcuts	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul				2026-09-11	17:08	Done	Planned	Medium	Progress on each card, errors with a Retry button, tooltips, keyboard shortcuts, and script errors shown on the page instead of a blank screen.	Commits: 550a2f2 4acb5fc 97787dd 1ebcead		OneSapro internal		No	
[AUTO]	2026-09-11 17:22	Admin check for web app files	Task Management Application	General	Infra-Admin	office.venulm@gmail.com	Venul				2026-09-11	17:22	Done	Unplanned	Medium	Admin > Check Web App Files shows whether each page file is present and complete, and which web app address is in use.	Commits: c85e892		OneSapro internal		No	
[AUTO]	2026-09-11 17:56	Fix time totals growing 24 times too big	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-11	17:56	Done	Unplanned	Critical	Saving time into a cell formatted as a duration multiplied the total by 24 on each save. Time is now always written as plain hours.	Commits: 42f9740		OneSapro internal		No	
[AUTO]	2026-09-11 19:47	Move task to new tab when reassigned	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul				2026-09-11	19:58	Done	Unplanned	High	Changing Assigned Member on Master now moves the task to the new person tab and clears it from the old one.	Commits: bad8978 a9f80a9		OneSapro internal		No	
[AUTO]	2026-09-11 20:11	Project README	Task Management Application	General	QA-Docs	office.venulm@gmail.com	Venul				2026-09-11	20:13	Done	Planned	Low	Readme for the tracker repository.	Commits: e112b1c 9d28b58		OneSapro internal		No	
[AUTO]	2026-09-11 20:26	Fix impossible hours and add wide dashboard	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-11	20:26	Done	Unplanned	High	A calendar date in the time column showed as 1,110,242 hours. Added Admin > Check Time Column and a wide dashboard view inside the sheet.	Commits: e92efcf		OneSapro internal		No	
[AUTO]	2026-09-11 20:29	Fix dead My Tasks link on the form	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-11	20:29	Done	Unplanned	High	The link pointed at an internal Google address. It now uses the saved web app URL.	Commits: 4f7c5fd		OneSapro internal		No	
[AUTO]	2026-09-17 09:37	Button loaders and task attachments on dashboard	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul						On Hold	Planned	High	Buttons spin and ignore repeat clicks while saving. Opening a task shows what was asked and its attachments. Code done; waiting to be deployed and tested.	Commits: 020e3f5		OneSapro internal		No	
[AUTO]	2026-09-17 09:45	Bulk Add can log finished work with real dates	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul						On Hold	Planned	Medium	Bulk Add accepts Date, Status, Completed Date and Time, and hours for work already done. Also fixes Check rows failing when a row had a deadline. Waiting to be deployed and tested.	Commits: c84d7b5		OneSapro internal		No	
